Question,Category,answer_class,Answer
Что включает в снбя курс подготовки к поиску работв?,9,26,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
Какие водеожности доступры длч ппохождения уроков курса?,9,26,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
"Вто мне нужно заполнить, чтобч связаться ч центром карьеры после прохождепия курса?",9,26,"Вы можете обратиться за помощью в поиске работы в центр карьеры после завершения обучения по основной программе.

После сдачи итоговой аттестации вам откроется доступ к курсу «Подготовка к поиску работы».

Это практический курс, на котором вы пройдете все основные этапы подготовки к поиску работы. Уроки курса в записи, вы можете проходить их в своем темпе.

После этого вы можете обратиться за помощью в поиске работы в центр карьеры и продолжить работать с карьерным консультантом. На последнем уроке курса будет ссылка на форму, которую необходимо заполнить для обращения в центр карьеры."
"Что вкщючает в себя карьарный план, криррый предлагмет центр кирьеры?",9,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
Какие материалы предлагает библиотека советов по поиаку работы длч студентов?,9,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
Как я могу птдать щаявку на вакепсии и стазирокки партнеров центра карьеры?,9,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
Какие дополеительняе рекомендации по составленрю резюме можно предоставить при подаче заявления на конкретную должность через Центр карьеры?,9,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
Какой вурс предьставляет дьступ к Telegram-канаду м партнерскими вакансифми и стажиррвками?,9,27,"Карьерный план
Построите свою стратегию поиска работы: поставите карьерную цель, проанализируете рынок и свой опыт
Составите карту поиска и разработаете несколько вариантов достижения карьерной цели
Составите резюме, которое отобразит ваши сильные стороны
Научитесь отвечать на вопросы рекрутера и рассказывать о себе на собеседовании
Будете готовы приступать к активному поиску работы
Библиотека рекомендаций по поиску работы
Большая подборка статей про поиск работы для студентов. Здесь можно найти профильные рекомендации и дополнительные материалы по подготовке и самому процессу поиска работы.
ㅤ

Партнерские вакансии и стажировки
После успешной подготовки к поиску вы можете откликаться на вакансии и стажировки наших партнеров в Telegram-канале.

Здесь мы публикуем предложения от работодателей, которые обратились напрямую в центр карьеры и готовы рассматривать студентов и выпускников GeekBrains. Вы получите доступ к этому каналу на курсе «Подготовка к поиску работы».

Если появляется конкретная позиция, на которую вы откликаетесь через нас, — мы можем дать дополнительные рекомендации по резюме под конкретный запрос, чтобы шансы на положительное рассмотрение увеличились."
Что такое налоговфй вычет для физичрских лрц и как его полусиьб?,0,28,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
Какие документы монадобятся для тформления налогового вычета на образование?,0,28,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
Через какой срок после оплаты обучения я могу подать заявление на налоговый вычер?,0,28,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
Какие документы подтверждают фактические расходы на обучение для налогового вычета?,0,28,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
Где можео получить лицензию образовательнооо учреждения для получения налолового вычета?,0,28,"Да. Налоговый вычет — это возврат части налога на доход физических лиц. Получить его можно, например, если вы оплатили обучение.
Подробнее о налоговом вычете на официальном сайте ФНС.

Что понадобится для налогового вычета
Оформить налоговый вычет можно по окончании календарного года, в котором оплатили обучение, но не позже трёх лет с момента оплаты. Для этого понадобятся:

- Договор с образовательным учреждением — в нашем случае оферта.
- Лицензия образовательного учреждения.
- Платёжные документы, подтверждающие фактические расходы на обучение. Подойдут спецификация к кредитному договору или чек — они должны быть у вас на электронной почте, а также выписка по счёту — её можно запросить в поддержке банка."
Как оспорить отавз в получении налогового вычета на расхоюы нп обтвзованир?,0,29,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
Какой запрос необходимо поюать на сайте центрального аппарата ФНС для признания договора на обучение?,0,29,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
Что необходимо приоожиоь к запньсв на сайтп ФНМ ЦА о подтверждении статуса предложенпя как ьоговора на оьучение?,0,29,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
Какой документ является основанием для оспаривания отказа в получении налогового вычета на расходы на образование?,0,29,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
Куда мне обратиться носле получения подтверждения центрального аппарата ФНС о повторной подаче заявления на налоговый вычет?,0,29,"Если вам отказали в получении налогового вычета по предоставленным документам, на сайте центрального аппарата ФНС подайте запрос «Признаётся ли мой договор (оферта) договором об образовании?». Обязательно приложите к нему оферту и отказ налоговой.

После того как ЦА ФНС подтвердит, что оферта является договором об образовании, снова обратитесь в районную налоговую инспекцию. К письму приложите ответ центрального аппарата — он является основанием для оспаривания отказа.

Напишите нам на claim@geekbrains.ru, если оферту не признают договором"
Что я получу пьсле усиешного прохождения финальных испчтаний?,0,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
"Где я могу узнать подробности о документе, подтверждающем уровень моих компетенцмй после прохождения итоговых испытаний?",0,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
"Какон значнние имеет докымени, пощткерждающий ыровень моих компетенций после прохожденмя итоговоло тестирования?",0,0,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates"
Какие аттестации необходимо пройти для получения итоговьго докумениа?,0,1,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
Какие формы итоговой артрстации мргут лыть?,0,1,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
Какой минимальный пикет документов необходим для полцченпя иторового докумеета?,0,1,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
Сколько времени ханимает мтзготовка дииломм после итоговой аттрстации?,0,1,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
Как чвчзаться с кураттром для полученич дипллма?,0,1,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа."
Какие учлшвиы необходтмо выпоонить для получения итоговшго документа?,0,2,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
"Могу ли я получить диплом, имея только сертификат учебного заведения?",0,2,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
Какпе формы итоговой аттестации могки проводиться?,0,2,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
"Что делать, если вап не удаловь кчпешнь пройти итоговое оценивпние?",0,2,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
Как быстро я смогу получить диплом после успешной итоговой аттесрации?,0,2,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

итоговый экзамен;
защита проекта;
другие формы итоговой аттестационной работы.
Мы подготовим диплом в течение 30 дней от даты итоговой аттестации. Чтобы его получить, обратитесь к куратору."
Как быстро я могу получить сероификат после успешной итоговой аттестации?,0,3,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
Как полцчить чертификат?,0,3,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
Что необхлдимо сбелато ддя получения скртификата?,0,3,"Можем его выдать, если вы:

оплатили обучение после 3 декабря 2019 года;
имеете среднее или высшее профессиональное образование — подойдут диплом СПО или ВО. Если вы ещё не закончили СУЗ или ВУЗ, подойдёт справка из образовательного учреждения;
при зачислении предоставили пакет документов — паспорт, диплом, СНИЛС, сведения о смене ФИО (при наличии), сведения о признании иностранного диплома (при наличии);
сдали все промежуточные аттестации до даты итоговой аттестации;
успешно сдали итоговую аттестацию.
Итоговой аттестацией может быть:

тестирование по всем темам программы;
защита индивидуального проекта, итоговой работы или портфолио;
защита командного проекта;
другие виды итоговых испытаний.
Мы подготовим удостоверение в течение 30 дней от даты итоговой аттестации. Чтобы получить его, обратитесь к куратору."
Как и когюа будет оиправлен диплшм или сертифпкпт?,0,4,Диплом или удостоверение отправим бесплатно Почтой России.
Как лыдет отпрувляться докуиентация?,0,4,Диплом или удостоверение отправим бесплатно Почтой России.
Можно ли отследить достаыку доквмепьов?,0,4,Диплом или удостоверение отправим бесплатно Почтой России.
Сколько времени занимает довтавка докумкнтов Пшчтоц России?,0,4,Диплом или удостоверение отправим бесплатно Почтой России.
